7.9542e+00 -1.8067e+00 -1.0967e+00
8.0211e+00 -1.4223e+00 -1.1096e+00
8.0880e+00 -1.3268e+00 -1.1225e+00
8.1549e+00 -1.3210e+00 -1.1355e+00
8.2217e+00 -1.3528e+00 -1.1485e+00
8.2886e+00 -1.1517e+00 -1.1615e+00
8.3555e+00 -1.1671e+00 -1.1745e+00
8.4224e+00 -1.1891e+00 -1.1876e+00
8.4893e+00 -1.1297e+00 -1.2007e+00
8.5562e+00 -1.2479e+00 -1.2138e+00
8.6230e+00 -1.1698e+00 -1.2270e+00
8.6899e+00 -1.3147e+00 -1.2402e+00
8.7568e+00 -1.3543e+00 -1.2536e+00
8.8237e+00 -1.3076e+00 -1.2669e+00
8.8906e+00 -1.3630e+00 -1.2804e+00
8.9575e+00 -1.3931e+00 -1.2940e+00
9.0243e+00 -1.3978e+00 -1.3077e+00
9.0912e+00 -1.3925e+00 -1.3216e+00
9.1581e+00 -1.4161e+00 -1.3356e+00
9.2250e+00 -1.4069e+00 -1.3498e+00
9.2919e+00 -1.3564e+00 -1.3642e+00
9.3588e+00 -1.3569e+00 -1.3789e+00
9.4256e+00 -1.3774e+00 -1.3939e+00
9.4925e+00 -1.3988e+00 -1.4093e+00
9.5594e+00 -1.4009e+00 -1.4251e+00
9.6263e+00 -1.4185e+00 -1.4414e+00
9.6932e+00 -1.4271e+00 -1.4582e+00
9.7600e+00 -1.4688e+00 -1.4758e+00
9.8269e+00 -1.4977e+00 -1.4941e+00
9.8938e+00 -1.4969e+00 -1.5133e+00
9.9607e+00 -1.5445e+00 -1.5335e+00
1.0028e+01 -1.5584e+00 -1.5551e+00
1.0094e+01 -1.5779e+00 -1.5780e+00
1.0161e+01 -1.6307e+00 -1.6026e+00
1.0228e+01 -1.6315e+00 -1.6292e+00
1.0295e+01 -1.6591e+00 -1.6581e+00
1.0362e+01 -1.6857e+00 -1.6896e+00
1.0429e+01 -1.7183e+00 -1.7243e+00
1.0496e+01 -1.7483e+00 -1.7626e+00
1.0563e+01 -1.7781e+00 -1.8051e+00
1.0630e+01 -1.8279e+00 -1.8526e+00
1.0696e+01 -1.8837e+00 -1.9059e+00
1.0763e+01 -1.9444e+00 -1.9658e+00
1.0830e+01 -2.0235e+00 -2.0336e+00
1.0897e+01 -2.1137e+00 -2.1106e+00
1.0964e+01 -2.2067e+00 -2.1982e+00
1.1031e+01 -2.3129e+00 -2.2983e+00
1.1098e+01 -2.4361e+00 -2.4129e+00
1.1165e+01 -2.5749e+00 -2.5445e+00
1.1231e+01 -2.7286e+00 -2.6958e+00
1.1298e+01 -2.8907e+00 -2.8702e+00
1.1365e+01 -3.0892e+00 -3.0714e+00
1.1432e+01 -3.2747e+00 -3.3041e+00
1.1499e+01 -3.5155e+00 -3.5733e+00
1.1566e+01 -3.7342e+00 -3.8852e+00
1.1633e+01 -3.9938e+00 -4.2470e+00
1.1700e+01 -4.3217e+00 -4.6668e+00
1.1767e+01 -4.6202e+00 -5.1543e+00
1.1833e+01 -4.9869e+00 -5.7209e+00
1.1900e+01 -5.2906e+00 -6.3797e+00
1.1967e+01 -5.7041e+00 -7.1460e+00
1.2034e+01 -5.9968e+00 -8.0378e+00
1.2101e+01 -6.7914e+00 -9.0760e+00
1.2168e+01 -6.5553e+00 -1.0285e+01
1.2235e+01 -7.0068e+00 -1.1693e+01
1.2302e+01 -inf -1.3333e+01
1.2368e+01 -8.1010e+00 -1.5244e+01
1.2435e+01 -7.8871e+00 -1.7471e+01
1.2502e+01 -inf -2.0067e+01
1.2569e+01 -inf -2.3093e+01
1.2636e+01 -8.4339e+00 -2.6621e+01
1.2703e+01 -inf -3.0734e+01
1.2770e+01 -inf -3.5529e+01
1.2837e+01 -inf -4.1121e+01
1.2904e+01 -8.7920e+00 -4.7642e+01
1.2970e+01 -inf -5.5246e+01
1.3037e+01 -inf -6.4114e+01
1.3104e+01 -inf -7.4457e+01
1.3171e+01 -inf -8.6519e+01
1.3238e+01 -8.8520e+00 -1.0059e+02
