RA ,DEC ,D ,AbsBMag
111.3417 ,-24.4753 ,    7.43 ,   -18.8
135.7629 ,-23.8083 ,   19.00 ,   -16.1
  3.5162 ,-23.1822 ,    9.20 ,   -18.5
 63.1713 ,-23.1589 ,    7.40 ,   -15.5
146.0838 ,-22.9161 ,    6.05 ,   -12.4
140.3646 ,-22.5006 ,   18.60 ,   -17.1
139.4704 ,-22.3553 ,   10.30 ,   -19.7
106.7367 ,-22.0406 ,    8.40 ,   -17.0
112.5346 ,-22.0169 ,    7.20 ,   -18.6
202.3375 ,-21.1792 ,    6.50 ,   -14.2
199.7304 ,-21.0392 ,    5.45 ,   -18.6
106.4375 ,-20.9917 ,    7.23 ,     0.0
 11.7846 ,-20.7600 ,    3.65 ,   -18.5
 81.7738 ,-20.6781 ,    5.07 ,   -14.1
114.0942 ,-19.4944 ,    7.35 ,   -16.7
138.3004 ,-19.4086 ,   21.90 ,   -16.8
179.7421 ,-19.0300 ,    8.50 ,   -15.6
101.4696 ,-18.2103 ,   10.00 ,   -18.9
101.7371 ,-17.9414 ,   10.00 ,   -15.7
101.1137 ,-17.9325 ,    9.90 ,   -16.7
195.8200 ,-17.4231 ,    7.30 ,   -16.4
196.9858 ,-16.6892 ,    7.90 ,   -15.1
  0.4921 ,-15.4611 ,    0.97 ,   -14.1
 99.5004 ,-15.0228 ,   10.80 ,   -18.3
143.8400 ,-13.8144 ,    7.30 ,   -12.9
193.4896 ,-12.1086 ,    8.00 ,   -15.2
189.9963 ,-11.6231 ,    9.30 ,   -21.8
192.2817 ,-11.4114 ,    7.30 ,   -17.1
194.6179 ,-10.5769 ,    8.70 ,   -15.2
149.1567 , -9.4864 ,    5.18 ,   -13.0
 95.2321 , -8.4956 ,    8.50 ,   -20.0
151.8446 , 38.9697 ,   18.40 ,   -15.8
188.5025 , 39.0194 ,    9.20 ,   -14.6
103.9167 , 39.0950 ,    7.24 ,   -13.5
134.7512 , 39.2100 ,   15.20 ,   -16.4
 97.6200 , 39.5039 ,   20.00 ,   -17.3
188.0017 , 39.8319 ,    6.90 ,   -14.8
189.0938 , 40.0053 ,   22.60 ,   -17.9
 38.4292 , 40.5281 ,    9.80 ,   -16.5
198.2158 , 40.5431 ,    8.33 ,   -14.7
150.9892 , 40.7569 ,   16.00 ,   -17.2
350.5275 , 40.8456 ,    7.90 ,   -19.2
352.4946 , 40.9903 ,    9.70 ,   -17.8
188.7992 , 41.0608 ,    7.90 ,   -13.1
