RA ,DEC ,D ,AbsBMag
187.2179 , 42.1778 ,    8.90 ,   -14.9
157.1375 , 42.6689 ,    7.55 ,   -12.0
 40.5450 , 43.3553 ,    9.30 ,   -15.7
184.8867 , 43.3864 ,    8.23 ,   -11.9
  7.2667 , 43.4317 ,    6.73 ,   -13.8
190.9892 , 43.6614 ,    4.31 ,   -10.9
176.7967 , 43.6719 ,    4.51 ,   -10.3
187.1871 , 43.9717 ,    4.07 ,   -13.9
107.3283 , 44.3800 ,    7.24 ,   -14.3
199.3313 , 44.3967 ,   10.00 ,   -12.5
204.1867 , 44.5992 ,    7.74 ,   -13.6
184.3688 , 44.8114 ,    9.20 ,   -14.5
189.9121 , 44.8208 ,    8.50 ,   -13.8
110.6854 , 45.1083 ,    8.55 ,   -14.1
198.6192 , 45.9194 ,    4.33 ,   -15.3
198.3450 , 46.3197 ,    4.19 ,   -12.7
197.0150 , 46.8281 ,    4.55 ,   -12.3
184.2921 , 47.0636 ,    7.80 ,   -11.0
192.8054 , 47.0708 ,    8.83 ,   -12.4
184.7879 , 47.0897 ,    7.24 ,   -13.6
114.3688 , 47.4092 ,   15.70 ,   -13.4
198.8779 , 47.4964 ,    4.41 ,   -13.8
101.9788 , 47.5139 ,   19.30 ,   -14.4
198.8338 , 47.5436 ,    4.20 ,   -10.2
180.7500 , 47.6542 ,    7.49 ,   -12.3
186.5667 , 48.4919 ,    5.68 ,   -13.7
173.3713 , 49.2381 ,    3.89 ,   -13.6
 99.6600 , 49.2583 ,   15.50 ,   -14.8
202.1300 , 49.6272 ,    8.02 ,   -12.3
160.3200 , 70.1508 ,    3.91 ,    -8.7
157.1654 , 70.2336 ,    4.00 ,   -12.0
255.1054 , 70.2900 ,   10.60 ,   -13.5
151.3775 , 70.3644 ,    8.71 ,   -15.6
141.6163 , 70.5067 ,    3.93 ,   -10.0
125.9833 , 71.0294 ,    3.55 ,   -11.5
155.3550 , 71.1161 ,    3.96 ,   -11.2
145.1346 , 71.1864 ,    3.84 ,   -14.5
144.8162 , 71.3117 ,    3.63 ,    -8.4
 56.2358 , 72.0644 ,    3.50 ,   -11.4
 66.3150 , 72.8058 ,    3.93 ,   -14.1
 89.9217 , 73.4275 ,    4.61 ,   -12.3
172.0025 , 78.9914 ,    4.35 ,   -14.1
101.9408 , 80.1239 ,    3.39 ,   -11.6
189.9938 , 13.7814 ,    8.20 ,   -13.4
159.9821 , 13.9078 ,   10.40 ,   -11.9
162.8808 , 14.1147 ,   10.40 ,   -12.2
164.7171 , 14.1294 ,   10.40 ,   -12.9
165.1883 , 14.1722 ,   10.40 ,   -11.6
194.6683 , 14.2175 ,    2.13 ,   -12.0
182.5071 , 14.3669 ,    7.70 ,   -14.2
119.2575 , 14.3908 ,    7.73 ,   -14.3
137.2229 , 14.5819 ,    9.55 ,   -12.6
352.1421 , 14.7467 ,    0.76 ,   -11.5
185.3663 , 15.0244 ,    9.40 ,   -13.1
  1.6433 , 15.5108 ,    5.40 ,   -10.0
161.0087 , 15.5889 ,   10.40 ,   -11.4
179.6683 , 15.5928 ,    6.27 ,   -11.0
 25.9225 , 15.6897 ,    7.87 ,   -13.5
185.5317 , 15.7992 ,    8.90 ,   -13.9
 24.9233 , 15.9031 ,    7.38 ,   -13.9
 25.0400 , 15.9047 ,    9.04 ,   -15.7
 59.2525 , 16.5244 ,    5.83 ,   -14.4
115.6300 , 16.5611 ,    8.02 ,   -14.3
143.7225 , 17.0514 ,    0.42 ,    -6.7
 50.0988 , 17.2950 ,    6.49 ,   -13.4
155.4379 , 18.0881 ,    2.00 ,    -9.4
193.9187 , 19.2092 ,    5.50 ,   -11.9
138.4125 , 19.6189 ,    4.43 ,   -11.0
142.5538 , 19.9917 ,    8.90 ,   -12.9
178.6863 , 20.0556 ,   16.40 ,   -15.3
135.7250 , 20.0753 ,    8.67 ,   -11.9
139.8725 , 21.6033 ,    9.08 ,   -12.7
142.6662 , 21.7236 ,    8.90 ,   -11.7
192.9421 , 21.7353 ,    5.50 ,   -12.0
 15.9792 , 21.8850 ,    0.65 ,    -9.3
187.0225 , 22.2908 ,    7.43 ,   -12.7
213.9854 , 23.0553 ,    2.20 ,   -12.4
177.2383 , 23.8378 ,   13.74 ,   -15.7
200.2700 , 24.1433 ,    7.20 ,   -12.2
204.8308 , 24.7758 ,    4.27 ,   -13.7
140.7375 , 24.9467 ,   10.40 ,   -12.5
184.5646 , 25.5683 ,   17.90 ,   -13.5
 45.1638 , 25.7822 ,    7.80 ,   -12.7
192.9350 , 26.1106 ,    9.20 ,   -13.5
193.6225 , 26.3050 ,   15.30 ,   -14.4
190.0071 , 26.3219 ,    9.20 ,   -11.6
 25.5700 , 26.3678 ,    7.20 ,   -13.1
 26.6733 , 26.8014 ,    7.20 ,   -11.4
186.4267 , 26.8100 ,   19.50 ,   -14.3
193.5217 , 27.1486 ,    4.04 ,   -14.0
 26.1779 , 27.2878 ,    7.20 ,   -12.1
 25.2829 , 27.3239 ,    6.52 ,   -11.5
179.6838 , 27.5850 ,    5.57 ,   -12.3
 28.8358 , 27.9542 ,    5.47 ,   -12.7
157.9825 , 28.0258 ,    9.20 ,   -13.1
185.4933 , 28.2428 ,    6.30 ,   -10.4
186.3663 , 28.4825 ,    6.15 ,   -12.5
192.0954 , 51.1647 ,    5.80 ,   -15.5
116.7350 , 51.2961 ,    6.98 ,   -12.9
 16.8854 , 51.4403 ,    4.27 ,   -12.3
203.6779 , 51.6139 ,    4.51 ,   -14.8
 23.7150 , 52.0917 ,    3.73 ,   -12.4
184.1192 , 52.2272 ,    4.21 ,   -12.3
183.9446 , 52.3875 ,    4.59 ,   -13.1
172.4750 , 52.4039 ,    9.00 ,   -13.1
190.9375 , 53.9589 ,    7.45 ,   -12.8
202.6850 , 54.9100 ,    2.69 ,   -13.1
177.5267 , 55.7833 ,    9.00 ,   -12.5
 36.1458 , 56.0117 ,    3.00 ,   -13.3
179.4758 , 56.6381 ,    7.03 ,   -12.2
213.7892 , 57.0875 ,    7.20 ,   -13.2
316.4708 , 57.2053 ,    5.90 ,   -15.4
 36.8625 , 57.4878 ,    3.00 ,   -13.0
312.1004 , 58.6183 ,    5.89 ,   -14.4
 43.9317 , 58.8617 ,    3.00 ,   -13.7
 43.5354 , 59.0053 ,    3.00 ,   -14.6
  5.1021 , 59.2917 ,    0.66 ,   -16.0
 38.8983 , 59.3797 ,    3.00 ,   -13.8
208.4233 , 60.0511 ,    8.00 ,   -13.1
307.6333 , 60.3536 ,    5.89 ,   -13.6
311.3367 , 60.4111 ,    5.89 ,   -14.8
307.5638 , 60.4403 ,    5.89 ,   -14.3
307.8858 , 60.8133 ,    5.89 ,   -14.1
176.7463 , 61.3350 ,    2.73 ,   -11.0
 68.0012 , 63.6139 ,    3.01 ,   -15.6
162.4021 , 65.5306 ,    7.45 ,   -14.3
183.5308 , 66.0922 ,    5.42 ,   -14.2
128.5271 , 66.1792 ,    3.56 ,   -13.4
 73.2788 , 67.0992 ,    3.34 ,   -11.9
235.4492 , 67.2542 ,    7.30 ,   -14.1
 56.3025 , 67.8639 ,    3.16 ,   -14.3
149.8879 , 68.6569 ,    3.60 ,   -10.1
150.1683 , 68.6603 ,    3.60 ,    -8.3
150.9250 , 68.6933 ,    3.82 ,   -11.4
149.3383 , 68.7153 ,    3.60 ,    -8.3
148.4521 , 68.9692 ,    4.02 ,    -9.6
 31.5329 , 69.0100 ,    3.30 ,   -16.7
149.3850 , 69.0431 ,    3.61 ,   -13.6
112.2275 , 69.2053 ,    3.19 ,   -16.1
149.3708 , 69.2722 ,    3.87 ,   -11.5
163.2379 , 69.5458 ,    3.70 ,   -10.8
129.2625 , 69.7753 ,    3.21 ,   -12.7
149.1904 , 28.8250 ,    9.80 ,   -15.3
 30.0413 , 28.8325 ,    4.90 ,   -11.5
145.0529 , 29.5914 ,   19.80 ,   -15.2
187.9942 , 29.7097 ,    8.10 ,   -14.3
183.4517 , 29.9589 ,    2.68 ,    -9.8
150.1521 , 30.5361 ,    7.10 ,   -11.3
149.8600 , 30.7464 ,    0.81 ,   -11.7
147.5817 , 31.4567 ,    7.10 ,   -11.7
147.5933 , 31.4875 ,    7.11 ,   -14.9
188.2208 , 31.5392 ,    4.85 ,   -15.0
159.1804 , 31.5467 ,   10.90 ,   -14.9
126.2708 , 32.0175 ,    8.15 ,   -13.0
146.2675 , 32.2383 ,    6.56 ,   -13.1
189.6667 , 32.7667 ,    3.61 ,   -11.8
190.4471 , 32.8578 ,    7.30 ,   -13.0
145.7492 , 33.2644 ,    8.30 ,   -13.4
 97.6217 , 33.3019 ,    7.01 ,   -14.3
184.4354 , 33.3453 ,    4.70 ,   -10.7
188.3537 , 33.3514 ,    6.90 ,   -13.0
 36.7200 , 33.4269 ,    9.30 ,   -12.7
189.2058 , 33.6133 ,   11.70 ,   -13.5
 45.7746 , 33.6944 ,    4.43 ,   -12.4
133.2113 , 33.7978 ,    7.70 ,   -12.2
185.7196 , 33.8286 ,    7.78 ,   -12.9
 36.8333 , 33.9583 ,    9.30 ,   -12.2
191.1046 , 34.3864 ,    9.10 ,   -13.9
185.4792 , 35.0514 ,    9.70 ,   -14.1
211.7946 , 35.0603 ,    2.14 ,    -9.2
187.1625 , 35.7181 ,    4.43 ,   -13.5
208.7029 , 35.8375 ,    3.08 ,   -12.2
 36.2508 , 36.0378 ,    9.30 ,   -14.4
164.1683 , 36.1411 ,    9.20 ,   -12.1
183.7413 , 36.2189 ,    2.86 ,   -11.5
164.4458 , 36.2608 ,    9.20 ,   -14.4
148.7108 , 36.3339 ,   15.40 ,   -13.1
191.7492 , 36.4764 ,    5.40 ,   -13.6
163.0229 , 36.4767 ,    9.20 ,   -12.0
163.0729 , 36.5933 ,    9.20 ,   -13.9
163.1700 , 36.6650 ,    9.20 ,   -14.1
186.7713 , 37.1425 ,    4.88 ,   -14.4
187.1188 , 37.2333 ,    6.89 ,   -14.3
185.4292 , 37.9872 ,    7.60 ,   -12.8
190.0087 , 38.0006 ,    8.50 ,   -12.2
207.7129 , 38.0211 ,    3.22 ,   -13.2
188.2808 , 38.1161 ,   10.00 ,   -11.6
190.5629 , 38.5019 ,    4.57 ,   -14.6
 38.2250 , 38.6806 ,    9.30 ,   -14.4
356.3917 , 38.7178 ,    2.45 ,   -10.8
189.3388 , 38.7453 ,    6.61 ,   -13.4
185.1808 , 46.2092 ,    6.50 ,     0.0
208.7108 , 54.6472 ,    7.41 ,     0.0
155.2508 , 68.7000 ,    3.70 ,     0.0
 36.1779 ,-73.5128 ,    4.10 ,   -12.3
340.4542 ,-64.4200 ,    0.88 ,    -9.2
100.4029 ,-50.9661 ,    0.10 ,    -9.0
194.0400 ,-50.1439 ,    4.29 ,   -12.7
203.4329 ,-48.1511 ,    3.47 ,   -16.6
207.0383 ,-47.5650 ,    3.66 ,   -10.9
206.5717 ,-45.6847 ,    3.84 ,   -10.9
205.5233 ,-45.2050 ,    3.58 ,   -11.9
198.2883 ,-44.8900 ,    3.82 ,   -13.7
205.8992 ,-43.7692 ,    3.63 ,   -10.2
198.2996 ,-43.2656 ,    3.60 ,   -14.1
201.3704 ,-43.0167 ,    3.75 ,   -20.8
200.5517 ,-42.7308 ,    3.94 ,   -10.1
205.4087 ,-42.5819 ,    3.93 ,   -10.3
348.7638 ,-42.5394 ,    8.32 ,    -8.3
200.5075 ,-42.5356 ,    3.87 ,   -12.9
198.1875 ,-41.8319 ,    4.21 ,   -10.9
197.8092 ,-38.9061 ,    3.60 ,   -10.9
206.5033 ,-36.3289 ,    3.60 ,   -10.6
 39.9779 ,-34.5258 ,    0.14 ,   -11.5
196.4333 , -7.7556 ,    5.00 ,   -11.9
151.3933 , -7.7492 ,    9.70 ,   -13.6
151.3083 , -7.7186 ,    9.68 ,   -20.8
153.2625 , -1.6144 ,    0.09 ,    -8.7
173.2375 , -0.5333 ,    0.16 ,    -4.2
166.4196 ,  0.1208 ,   10.70 ,   -14.2
172.7900 ,  2.2200 ,    0.18 ,    -3.8
214.8117 ,  3.1239 ,    8.00 ,   -11.7
344.6292 ,  5.9525 ,    0.18 ,    -4.4
163.0813 , 11.0433 ,   10.40 ,   -14.0
161.6250 , 11.7558 ,   10.40 ,   -11.2
164.5437 , 11.9992 ,   10.40 ,   -11.7
160.6442 , 12.1506 ,   10.40 ,   -11.7
152.1121 , 12.3081 ,    0.25 ,   -11.0
161.6729 , 12.3264 ,   10.40 ,   -13.2
162.6129 , 12.3608 ,   10.40 ,   -11.9
161.9567 , 12.5817 ,   11.12 ,   -20.1
162.0704 , 12.6292 ,   11.38 ,   -19.6
161.7283 , 12.7881 ,   10.40 ,   -12.4
247.7583 , 12.7917 ,    0.15 ,    -6.1
209.5000 , 12.8333 ,    0.04 ,    -1.9
162.8379 , 12.8492 ,   10.40 ,   -13.3
161.5600 , 12.9600 ,   10.40 ,   -11.5
170.6000 , 12.9794 ,   10.30 ,   -13.5
162.5796 , 13.2719 ,   11.07 ,   -14.8
162.7221 , 13.4122 ,   10.40 ,   -18.8
 15.0392 ,-33.7092 ,    0.09 ,    -9.8
200.7337 ,-33.5728 ,    4.60 ,   -11.0
340.1829 ,-30.7997 ,    2.00 ,   -10.3
283.7629 ,-30.4783 ,    0.02 ,   -12.7
206.6646 ,-29.9792 ,    4.60 ,   -11.0
204.1479 ,-29.5708 ,    4.68 ,   -14.2
  5.9654 ,-24.7050 ,    4.21 ,   -10.5
138.1221 ,-24.2411 ,    9.80 ,   -14.5
138.0771 ,-24.2111 ,    9.80 ,   -13.6
138.0808 ,-24.1717 ,    9.82 ,   -19.7
137.9263 ,-23.9822 ,    9.80 ,   -12.8
200.8746 ,-23.3931 ,    4.60 ,   -11.1
137.2954 ,-23.3678 ,    9.80 ,   -13.0
  3.8546 ,-21.4439 ,    5.30 ,   -15.7
 54.8783 ,-18.6881 ,   24.50 ,   -20.3
190.0371 ,-12.3647 ,    9.30 ,   -11.5
190.3288 ,-11.9275 ,    9.30 ,   -12.1
189.9792 ,-11.7467 ,    9.30 ,   -11.6
190.0129 ,-11.6678 ,    9.30 ,   -11.5
  6.5458 ,-11.0444 ,    0.78 ,   -10.2
189.6404 ,-10.4903 ,    9.30 ,   -12.3
149.9479 , -9.3433 ,    9.70 ,   -12.2
209.0421 , 40.3033 ,   10.00 ,   -12.5
 10.6754 , 40.8664 ,    0.49 ,   -14.8
154.5925 , 41.1658 ,   11.10 ,   -11.9
 10.0938 , 41.6864 ,    0.82 ,   -16.1
358.6988 , 42.4708 ,    0.86 ,    -9.3
 13.2200 , 43.2000 ,    0.79 ,    -8.1
  9.2792 , 44.3222 ,    0.74 ,    -7.0
 16.6404 , 44.8044 ,    0.63 ,    -7.9
  0.5604 , 45.0889 ,    1.36 ,    -9.1
  9.3629 , 45.3869 ,    0.83 ,    -7.3
 19.6250 , 46.3661 ,    0.60 ,    -7.0
185.2292 , 46.8292 ,    7.80 ,   -10.1
  7.5371 , 46.8519 ,    0.81 ,    -9.1
185.1692 , 47.0008 ,    7.80 ,   -12.0
184.9033 , 47.0925 ,    7.80 ,   -11.0
184.8908 , 47.4517 ,    7.80 ,   -12.5
185.1254 , 47.4903 ,    7.80 ,    -9.0
 17.5712 , 47.6281 ,    0.81 ,    -9.2
185.9425 , 47.6589 ,    7.80 ,   -11.1
184.7771 , 47.7308 ,    7.80 ,   -11.0
  5.9400 , 47.9161 ,    0.76 ,    -6.5
  9.7417 , 48.3361 ,    0.61 ,   -14.7
  8.2983 , 48.5078 ,    0.76 ,   -14.8
143.5154 , 70.2158 ,    3.66 ,    -9.6
148.8067 , 70.4081 ,    3.93 ,    -9.1
152.3954 , 70.5486 ,    9.00 ,   -12.4
146.1433 , 71.4825 ,    3.39 ,   -11.1
165.2171 , 13.8808 ,   10.40 ,   -13.2
161.1471 , 13.9397 ,   10.40 ,   -13.8
161.9267 , 13.9856 ,   10.91 ,   -19.1
161.6033 , 14.0250 ,   10.40 ,   -12.2
210.0000 , 14.5000 ,    0.07 ,    -5.5
163.0838 , 14.7072 ,   10.40 ,   -11.6
163.0200 , 15.0306 ,   10.40 ,   -13.1
194.1042 , 15.0858 ,    6.00 ,   -12.1
151.7633 , 16.0736 ,    0.02 ,    -0.7
196.1246 , 17.7589 ,    4.40 ,   -11.0
320.3792 , 19.1172 ,    0.02 ,    -0.6
 34.8167 , 20.1753 ,    0.03 ,    -2.3
170.7646 , 21.3269 ,   10.00 ,   -11.7
143.2038 , 21.4650 ,    8.90 ,   -13.5
195.6746 , 21.9975 ,    4.40 ,   -11.0
168.3717 , 22.1547 ,    0.21 ,    -9.1
186.7458 , 23.9042 ,    0.04 ,    -3.2
357.9433 , 24.5861 ,    0.82 ,   -10.7
209.2808 , 26.7750 ,    0.05 ,    -5.9
 21.9167 , 28.0903 ,    0.79 ,    -6.0
162.9963 , 28.3625 ,   10.00 ,   -12.7
184.6225 , 28.6458 ,    9.00 ,   -13.4
203.1508 , 49.8303 ,    8.00 ,   -12.9
351.6325 , 50.6756 ,    0.79 ,   -11.7
162.3375 , 51.0500 ,    0.04 ,    -1.9
158.7200 , 51.9200 ,    0.10 ,    -4.8
209.3108 , 54.1008 ,    8.32 ,   -13.9
243.4483 , 54.3711 ,    1.86 ,    -9.4
179.3983 , 55.4586 ,   10.30 ,   -16.7
260.0058 , 57.9094 ,    0.08 ,    -8.7
 39.1479 , 59.6550 ,    3.01 ,   -19.0
132.8750 , 63.1300 ,    0.03 ,    -3.1
150.0667 , 63.1850 ,    3.91 ,   -10.2
158.6329 , 66.0117 ,    3.85 ,   -11.1
151.2804 , 66.5550 ,    3.50 ,   -12.1
113.5471 , 66.8861 ,    3.19 ,   -12.1
151.6925 , 67.2011 ,    3.87 ,    -8.6
227.2971 , 67.2144 ,    0.06 ,    -7.1
146.2083 , 67.4756 ,    3.77 ,   -12.6
147.5417 , 67.5067 ,    3.48 ,   -12.0
156.6163 , 67.6567 ,    3.72 ,   -11.5
151.7579 , 67.8275 ,    3.70 ,   -12.6
151.1679 , 68.2556 ,    3.78 ,   -10.6
152.0246 , 68.3992 ,    3.75 ,   -11.6
149.2612 , 68.5917 ,    3.60 ,   -12.9
153.7325 , 68.7575 ,    4.57 ,    -8.3
146.2917 , 68.7650 ,    3.40 ,   -10.5
153.7788 , 69.0375 ,    4.07 ,    -7.8
146.0938 , 69.2111 ,    3.98 ,    -7.4
 12.8958 , 29.6969 ,    0.73 ,    -7.7
184.9112 , 29.8833 ,   16.67 ,   -16.0
185.4871 , 30.0742 ,   14.00 ,   -16.7
182.6400 , 30.4017 ,   13.74 ,   -18.3
359.7317 , 30.7556 ,    0.73 ,    -7.5
338.1717 , 31.2161 ,    0.65 ,    -7.7
192.2196 , 31.9703 ,    5.40 ,   -11.2
 14.8742 , 32.3767 ,    0.52 ,    -8.2
190.8525 , 32.4822 ,    7.30 ,   -12.0
190.9358 , 32.5344 ,    7.30 ,   -10.4
190.4988 , 32.5736 ,    7.30 ,   -16.4
 33.2325 , 32.8142 ,    4.19 ,   -11.5
 12.6767 , 32.9164 ,    0.63 ,    -8.1
 12.9625 , 33.0044 ,    0.84 ,    -6.8
 19.1242 , 33.4192 ,    0.65 ,    -9.2
202.0146 , 33.5558 ,    0.22 ,    -7.9
133.8417 , 33.5592 ,    7.70 ,   -11.9
 11.5833 , 33.8014 ,    0.73 ,    -6.2
194.2917 , 34.3208 ,    0.16 ,    -4.1
 11.8625 , 34.3747 ,    0.83 ,    -6.4
  4.8838 , 35.0436 ,    0.93 ,    -8.3
  1.8779 , 35.1322 ,    0.80 ,    -5.8
192.3054 , 35.6125 ,    4.74 ,   -10.8
 17.3621 , 35.7175 ,    3.05 ,   -16.5
  8.8908 , 36.4978 ,    0.75 ,    -9.3
 11.4167 , 38.0372 ,    0.73 ,   -10.7
 18.5779 , 38.1175 ,    0.76 ,    -8.7
 22.3408 , 38.7189 ,    0.73 ,    -9.5
  9.1454 , 49.6467 ,    0.68 ,     0.0
